RESISTORS (1/4 watt)
| QTY | VALUE |
| 1 | 390 ohm |
| 1 | 4K7 |
| 1 | 10K |
| 1 | 43K |
| 1 | 430K |


CAPACITORS
| QTY | VALUE |
| 2 | 0.1 UF (100nF) |


TRANSISTORS
| QTY | Part # |
| 1 | 2N5088 |


DIODES
| QTY | Part # |
| 1 | 1N5817 |
| 1 | 5mm LED (color of choice) | Note: Tayda drill template assumes the LED is in a 5mm bezel, change LED hole size as desired.


POTENTIOMETERS
| QTY | VALUE |
| 1 | A100K | Note: B100K for linear taper works fine. Use 16mm right angle PCB mount if using 1590a drill template.


SWITCHES
1 | 3DPDT footswitch

JACKS
2 | 1/4" Mono Audio Jack
1 | 9 volt power jack (center negative) Note: No space for battery in 1590a enclosure
